"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
7,1,701,"福島1区",197116,184414,1284,27215,85470,12958,34138,2937,20412,12593,109,0
7,2,702,"福島2区",218872,203852,940,30386,90526,14807,35937,3005,28251,14873,146,1
7,3,703,"福島3区",167560,158160,1116,23257,81646,11999,23715,1967,14460,9124,276,0
7,4,704,"福島4区",194210,184220,854,25706,92636,13235,30339,3145,18305,9881,108,1
8,1,801,"茨城1区",210935,197099,705,23224,86490,15993,43569,5171,21947,13731,102,3
8,2,802,"茨城2区",161317,152703,855,26640,74307,10823,20275,2518,17285,8483,131,0
8,3,803,"茨城3区",198145,183876,515,17001,68712,15876,50716,7038,24018,14177,90,2
8,4,804,"茨城4区",135654,127986,628,16517,58222,10307,24483,4581,13248,7604,63,1
8,5,805,"茨城5区",123801,115256,542,15822,53297,8082,21717,5030,10766,8460,85,0
8,6,806,"茨城6区",225090,203826,648,20129,73680,17176,52088,16847,23258,21133,130,1
8,7,807,"茨城7区",175267,164707,921,29498,74428,12806,25312,1864,19878,10413,139,8
9,1,901,"栃木1区",211804,197350,377,15319,68452,15158,49985,9079,38980,14356,94,4
9,2,902,"栃木2区",130428,123302,551,17978,58551,10155,23334,2708,10025,6988,138,0
9,3,903,"栃木3区",121253,113878,500,18380,50631,9170,19089,2411,13697,7279,94,2
9,4,904,"栃木4区",183766,170811,653,22596,74251,14657,36784,4716,17154,12764,186,5
9,5,905,"栃木5区",180233,169072,868,27055,78747,13852,32697,2558,13295,10977,181,3
10,1,1001,"群馬1区",165411,153369,841,20471,64655,14955,36972,4066,11409,11928,113,1
10,2,1002,"群馬2区",171771,158852,714,21869,67914,15293,31206,2805,19051,12700,214,5
10,3,1003,"群馬3区",175892,164421,703,20364,69945,16058,34105,3576,19670,11255,209,7
10,4,1004,"群馬4区",148516,136934,545,14609,52808,12239,36898,4494,15341,11380,200,2
10,5,1005,"群馬5区",159274,149956,1077,24676,68544,13167,26543,2303,13646,9134,184,0
11,1,1101,"埼玉1区",186596,170575,283,8903,40990,13574,67779,7803,31243,15917,102,2
11,2,1102,"埼玉2区",207004,192410,506,18762,56675,17445,53382,5181,40459,14364,218,12
11,3,1103,"埼玉3区",194715,179509,370,17251,56550,15734,51935,4124,33545,15062,139,5
11,4,1104,"埼玉4区",198731,183363,309,12806,49978,16223,58297,6877,38873,15262,101,5
11,5,1105,"埼玉5区",194224,179263,289,9074,45640,14848,67925,8318,33169,14880,81,0
11,6,1106,"埼玉6区",203356,188497,479,16291,65394,19607,60337,4952,21437,14758,97,4
11,7,1107,"埼玉7区",179215,165049,386,15542,54895,16663,51671,5127,20765,14022,141,3
11,8,1108,"埼玉8区",190241,174803,357,13619,55638,17449,61952,6312,19476,15276,149,13
11,9,1109,"埼玉9区",207584,192130,491,21017,75726,18052,49576,4076,23192,15372,79,3
11,10,1110,"埼玉10区",170693,156602,469,18080,57446,15129,40301,3415,21762,13884,207,0
11,11,1111,"埼玉11区",174513,162652,837,25316,71864,16015,30755,2566,15299,11736,123,2
11,12,1112,"埼玉12区",190747,177477,770,21291,73171,16700,41493,3339,20713,13111,157,2
11,13,1113,"埼玉13区",190410,176488,518,17964,66467,16178,49635,4177,21549,13779,141,2
11,14,1114,"埼玉14区",212820,198108,445,22403,61216,15727,45940,3949,48428,14553,147,12
